Study,Site_ID,AFstep_Oe,dec_tc,inc_tc,kappa,n,site_lat,site_long
Halls1974a,1,200,289.8,43.6,517,5,48.63,-88.11
Halls1974a,2,150,285.7,42.0,243,5,48.64,-88.09
Halls1974a,3,100,307.4,37.9,2485,5,48.64,-88.07
Halls1974a,4,150,302.8,29.9,331,5,48.66,-88.04
Halls1974a,5,300,294.7,42.5,130,5,48.66,-88.04
Halls1974a,6,100,106.1,-44.2,70,5,48.66,-88.05
Halls1974a,7,250,109.8,-62.4,351,6,48.68,-88.02
Halls1974a,8,400,140.7,-64.8,679,5,48.68,-88.03
Halls1974a,9,150,110.0,-56.6,321,3,48.68,-88.06
Halls1974a,10,150,128.2,-42.0,59,5,48.66,-88.07
Halls1974a,11,400,88.3,-59.1,456,3,48.66,-88.07
Halls1974a,12,250,118.6,-48.9,240,5,48.66,-88.08
Halls1974a,13,250,128.1,-38.0,886,3,48.65,-88.09
Halls1974a,14,200,108.2,-55.8,121,6,48.65,-88.08
Halls1974a,15,300,118.5,-46.0,402,6,48.65,-88.10
Halls1974a,16,150,106.0,-54.2,125,6,48.64,-88.10
Halls1974a,17,300,93.7,-54.1,362,4,48.63,-88.11
Halls1974a,18,200,116.0,-53.0,224,4,48.61,-88.16
Halls1974a,19,200,131.7,-64.9,871,4,48.61,-88.17
Halls1974a,20,250,119.9,-55.8,108,4,48.59,-88.19
Halls1974a,21,300,94.3,-65.5,84,5,48.64,-88.12
Halls1974a,22,200,91.8,-58.2,94,5,48.64,-88.12
Halls1974a,23,300,114.3,-64.0,69,4,48.62,-88.16
Halls1974a,24,400,116.8,-40.4,77,3,48.68,-88.06
Halls1974a,25,150,126.3,-58.7,166,3,48.69,-88.05
Halls1974a,26,300,112.0,-75.1,3634,3,48.71,-88.07
Halls1974a,27,400,118.6,-70.3,729,3,48.67,-88.10
Halls1974a,28,150,132.6,-54.1,1039,3,48.68,-88.10
Halls1974a,29,250,129.1,-54.5,1149,3,48.68,-88.10
Halls1974a,30,300,80.5,-80.4,267,5,48.59,-88.22
