site_ID,dec_tc,inc_tc,a95,n,site_lat,site_long,pole_lat,pole_long,rem_type,sequence,unit
ns002,283.5,38.7,6.6,4,47.7341,-90.4292,24.9,185.2,hem,nneu,ngha
ns003,286.9,47.9,3.8,5,47.7371,-90.4114,32.0,188.9,mixed,nneu,ngha
ns004,290,47.8,5.6,5,47.7328,-90.4363,34.0,186.7,mag,nneu,ngha
ns005,299.8,37.6,5.3,4,47.7254,-90.4430,35.3,172.4,mag,nneu,ngt
ns006,294.8,38.8,3,5,47.7161,-90.4904,32.5,177.0,mag,nsl,
ns007,301.5,40.6,5.8,5,47.7012,-90.5391,37.9,172.9,hem,nsl,
ns008,309.4,44.7,4.8,5,47.6011,-90.7866,45.3,169.3,hem,nsl,
ns009,281.9,49,4.6,4,47.5979,-90.7915,29.3,192.7,hem,nsl,
ns010,285.7,39.5,4.5,5,47.5941,-90.7973,26.7,183.8,hem,nsl,
ns011,290.1,27.2,4.9,5,47.5853,-90.8152,24.1,174.3,hem,nsl,
ns012,282.5,41.2,9.4,4,47.5461,-90.8936,25.4,187.0,hem,nsl,
ns013,285.2,38.2,4.4,4,47.5510,-90.8828,25.8,183.4,hem,nsl,
ns014,272.8,31.7,2,5,47.4691,-91.0143,14.4,188.8,hem,nsl,
ns015,292,26.6,4.9,4,47.4692,-91.0137,25.1,172.4,hem,nsl,
ns016,277,56.1,9.3,5,47.7430,-90.3824,30.5,202.1,mag,nneu,nbwb
ns018,311.4,12.2,9.1,5,47.7767,-90.2093,31.4,150.7,hem,nneu,nneu
ns019,273.9,54.8,4.4,5,47.7417,-90.3906,27.7,202.7,mag,nneu,nbwb
ns020,302.3,12.7,6,5,47.7786,-90.1907,26.1,159.1,hem,nneu,nrcb
ns021,308.1,27.5,2.5,5,47.7771,-90.2205,36.0,160.1,hem,nneu(?),nrcb/nhd
ns022,301.3,38.1,4.9,5,47.7965,-90.1286,36.5,171.8,mag,nneu,nki
ns023,303.1,19.6,2.4,5,47.7763,-90.2010,29.4,161.0,hem,nneu,nrcb
ns024,120.2,-75.5,4.3,4,47.9284,-89.7254,-54.5,47.1,hem,nnel,ngpb
ns025,114.3,-69.7,10.6,5,47.7763,-90.2011,-49.4,33.3,mixed,nneu (?),nrcb (?)
ns026,126.2,-62.1,3.4,5,47.9124,-89.7513,-52.9,13.8,mag,nnel,ndba
ns027,293.9,46.8,3.6,5,47.9028,-89.7782,36.0,183.7,mag,,bhrd
ns028,288.6,32.7,3.4,5,47.7671,-90.3318,25.5,178.4,mag,nneu,ncvb
ns030,289.2,33.9,3.9,5,47.7990,-90.1056,26.4,178.8,mixed,nneu,nmil
ns031,288,32.9,2.1,5,47.7689,-90.3309,25.2,179.0,mag,nneu,ncvb
ns032,286,39.7,4.5,5,47.7319,-90.4429,27.1,184.0,mixed,nneu,ngha
ns034,299.7,54.2,4.8,5,47.0167,-91.6603,44.0,185.6,hem,nswu,nthb
ns035,293.8,55.9,1.6,5,47.0182,-91.6599,41.0,191.2,mag,nswu,nthb
ns036,297,54.6,7,4,47.0163,-91.6603,42.4,187.7,hem,nswu,nthb
ns037,293.4,53.3,3.2,5,47.0202,-91.6598,39.2,188.6,mag,nswu,nthb
ns038,286,29.2,7.5,5,46.9541,-91.7732,22.2,177.6,mixed,nswu,nlmb
ns039,287.6,33,2,5,46.9530,-91.7756,25.0,178.3,hem,nswu,nlmb
ns040,289.5,55.6,3.2,5,46.9250,-91.8207,37.9,193.3,mag,nswu,nsrb
ns041,284.5,50,2.1,5,46.9241,-91.8175,31.4,191.2,mag,SP_diabase,spdb
ns042,291.6,43,7.5,5,46.9105,-91.8175,32.4,181.2,mixed,nswu,nsrb
ns043,274,32.2,5.5,5,46.9096,-91.8646,15.4,187.5,mag,nswu,nsrb
ns044,289.2,44.5,5,4,46.9111,-91.8604,31.6,183.9,hem,nswu,nsrb
ns045,273,30.7,2.6,4,46.9100,-91.8635,14.0,187.5,mag,nswu,nsrb
ns046,304.4,42.8,7.1,4,46.9000,-91.8916,41.1,171.5,mag,nswu,nsrb
ns047,311.7,55.9,3.4,5,46.9016,-91.8885,53.1,179.6,mixed,nswu,nsrb
ns048,305.8,56.3,7.7,4,46.8969,-91.8962,49.3,184.1,mag,nswu,nsrb
ns049,302.6,54.2,6.9,4,46.9029,-91.8862,45.9,183.6,mag,nswu,nsrb
